Question,OptionA,OptionB,OptionC,OptionD
"Кто проживает на дне океана?","Донателло","Гарри Поттер","Губка Боб","мне надоело придумывать варианты ответа"
"Кто проживает не на дне океана?","Сквидвард","Гарри Поттер","Губка Боб","Патрик"
